STORE_TYPE,STORE_NAME,ADDRESS_LINE1,CITY,STATE,ZIP,longitude,latitude,NBHD_NAME
Specialty Food Store,St Kilian's Cheese Shop,3211 Lowell Blvd,Denver,CO,80211,-105.034947,39.762367,West Highland
Convenience Store,7-Eleven,2609 N FEDERAL BLVD,Denver,CO,,-105.025683,39.75511,Sloan Lake
Convenience Store,7-Eleven,5195 W BYRON PL,Denver,CO,,-105.052879,39.7533,Sloan Lake
Convenience Store,Mile High Convenience,2105 N FEDERAL BLVD,Denver,CO,,-105.025589,39.74915,Sloan Lake
Convenience Store With Gas,Diamond Shamrock,1945 N FEDERAL BLVD,Denver,CO,,-105.025661,39.747332,Sloan Lake
Closed Small Grocery Store,Los Barron,3006 W 23rd Ave,Denver,CO,80211,-105.025578,39.751087,Sloan Lake
Convenience Store,7-Eleven,4406 N SHERIDAN BLVD,Denver,CO,,-105.052878,39.776923,Berkeley
Convenience Store,Tennyson Sun Mart,4400 W 39TH AVE,Denver,CO,,-105.044156,39.770869,Berkeley
Convenience Store With Gas,1st Stop,3701 W 44TH AVE,Denver,CO,,-105.036113,39.776921,Berkeley
Convenience Store With Gas,Conoco,4785 N FEDERAL BLVD,Denver,CO,,-105.025622,39.783559,Berkeley
Convenience Store With Gas,Safeway Fuel,3600 W 44TH AVE,Denver,CO,,-105.03491,39.776458,Berkeley
Convenience Store With Gas,Valero,4498 N SHERIDAN BLVD,Denver,CO,,-105.05286,39.778095,Berkeley
Supermarket,Safeway,3800 W 44th Ave,Denver,CO,80211,-105.036935,39.77606,Berkeley
Specialty Food Store,Belfiore Genuine Italian Sausage,3930 Lowell Blvd,Denver,CO,80211,-105.034272,39.771336,Berkeley
Convenience Store,Regis Convenience Store,5001 N LOWELL BLVD,Denver,CO,,-105.035068,39.787585,Regis
Small Grocery Store,Longmont Meats,5115 N FEDERAL BLVD,Denver,CO,,-105.026604,39.789909,Regis
Convenience Store With Gas,7-Eleven,4708 N WASHINGTON ST,Denver,CO,,-104.978175,39.782048,Globeville
